SAMPLEID	VERDY3	VERDY6	VERDY24	VERDY4	NT1	NT2	NT3	NT4	NT5	VERDY5	VERDY7	VERDY2	VERDY8	VERDY21	VERDY33	VERDY34	VERDY35	VERDY36	VERDY38	VERDY39	VERDY51	VERDY40	VERDY49	VERDY53	VERDY20	VERDY37	VERDY65	VERDY66	VERDY9	VERDY17	VERDY54	VERDY19	VERDY18	VERDY52	VERDY23	VERDY55
"Bacteria; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Facklamia; tabacinasalis"	0	0	0	0	0	0	19411	0	0	0	0	0	1974	0	0	0	4	180	0	16	14	0	0	0	0	0	0	0	0	0	3	0	0	0	39	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; NA"	0	0	0	0	0	0	0	0	0	0	0	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; NA"	0	0	0	0	0	0	0	0	0	0	0	0	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; NA"	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Pantoea; agglomerans"	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	6032	13	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; NA"	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	3931	11	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Thermomonas; NA"	0	0	0	0	0	12489	20847	0	0	0	592	4	18	0	0	0	5	0	0	3259	10	4	0	0	0	0	0	60	63	80	1072	0	0	0	289	2
"Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter; NA"	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	2655	6	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
"Bacteria; Firmicutes; Bacilli; Bacillales; Planococcaceae; Domibacillus; NA"	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	962	4	0	0	0	0	0	0	0	0	0	244	0	0	0	17	0
"Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Comamonadaceae; Pelomonas; aquatica"	0	0	0	0	0	26712	25192	0	4	0	0	20	4	0	0	2247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	521	0
