SAMPLEID	VERDY19	Plrevelo.MOCKZYMO	Plrevelo.NT4	VERDY5	Plrevelo.NT2	VERDY2	VERDY55	ED	VERDY24	VERDY20	VERDY21	VERDY8	VERDY7	VERDY39	VERDY51	VERDY35	VERDY38	VERDY65	VERDY66	VERDY52	VERDY54	VERDY4	VERDY23	VERDY53	Plrevelo.IV01IV	Plrevelo.TLIB2	VERDY40	VERDY33	VERDY9	Plrevelo.TLIB1	VERDY6	Plrevelo.NT1	VERDY17	VERDY34	VERDY36	VERDY3	VERDY18	FMR	VERDY49	Plrevelo.NT5	Plrevelo.NT3	VERDY37
Actinomadura sp. NAK00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6372	0	0	0	0	0.0857	0	0	0	0	0	0	2.9915	0	0	0	0	0.0997	0	0	0	0
Actinomadura sp. WMMB 499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6372	0	0	0	0	0	0	0	0	0	0	0	2.7614	0	0	0	0	0	0	0	0	0
Actinomyces oris	0	0	0.3396	0	0	0.1882	0.2186	0	0.6397	0	11.874	0	0	0	0	0	0.0929	0	0	0	0	0	0	0	0.5614	0.257	0	0	0	0.1758	0.2669	0	0.9205	0.3026	0	0.8319	0	0.5982	0.1196	0.4941	0.4395	0
Actinomyces sp. oral taxon 848	0	0	19.5829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces weissii	0	0	0	0	0	0	0	0	0	0	0	0	0.4079	0	0	0	0.0929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0988	0	0
Actinoplanes derwentensis	0	0	0	7.2668	0	0	0.1093	0	2.5587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinoplanes friuliensis	0	0	0	0	0	0	0	0	0	0	0	0	0.4079	0	0	0	0	0	0	0	0	0	0	29.0474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinoplanes ianthinogenes	5.0076	0	0	3.6334	0	0	0	0.1648	0.6397	0.6639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2089	0	4.5847	0	0	0	0	0.9078	2.5884	0	0	0	0	0	0	0
Actinoplanes sp. L3-i22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.157	0	0	0	0	0	0	0.1491
Actinosynnema pretiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinotignum schaalii	0	0	27.167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Advenella alkanexedens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8155	0	0	0	0	0	0	0	0
Aequoribacter fuscus	0	0	0	0	0	0	0	0	1.2793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeribacillus pallidus	0	15.4972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus urinaeequi	57.4303	0.5915	51.0513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7658	0	0	0	0	0	0	0	0	0	1.296	0	0	153.06	0
Aerococcus viridans	0	0.2366	0	0	0	0	0	0	0	1.9918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1766	0	0	0	0	0	0	0	0	0	0	0	0	64.4985	0
Aeromicrobium choanae	0	0	1.2452	0	0	0	0	0	0	0	0	1.3762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0997	0	0.2964	0	0
Aeromicrobium duanguangcaii	0	0	0	0	0	0	0	0	0	0	0	1.3762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0738	0	0	0	0	0	0.0997	0	0	6.7026	0
Aeromicrobium senzhongii	0	0	0	0.7267	0	0	0	0	0	0	0	0.1376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0738	0	0	0	0	0	0	0	0	11.757	0
Aeromonas caviae	1.2519	1.4196	0.2264	0	1.2364	0.0941	0.1093	0	0	0	0	0.1376	0	0	0.4037	0	0	0	0	0	0	0	0.301	0	0.1604	0.0857	0	0	0	0.3515	0	0	0	0.3026	0	0.4159	0	0.0997	0	0	0.2198	0.5966
Aeromonas hydrophila	2.8168	0.9464	0	0	1.0598	0.0941	0.1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802	6.8523	0	1.4127	0	0	0	0	0	0	0.4314	1.2478	0	0.0997	0	0	0	0.1491
Aeromonas veronii	8.4502	2.7209	0.1132	0	1.413	0.2822	5.9011	0.3296	0	0	0	0	0	0	0	0	0	0	0	0.1861	0.7646	0	0	0	0.0802	3.2548	0	0	0	0	0	0	0	0.1513	0	0.208	0	0.2991	0	0.1976	0	0.2983
Aestuarium zhoushanense	2.8168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3238	0	0	0	0.8829	0	0	0	0	0	0	0	0	0	0	0	0	0	0
